Sample,d18O,Mg,Sr,Layer,,,
LN-13-13,0.37,11460,3117,,,,
LN-13-13,2.16,12555,2802,40,,,
LN-13-13,1.78,11651,2301,41,,,
LN-13-13,0.63,10820,2557,42,,,
LN-13-13,1.37,11013,5811,43,,,
LN-13-20,1.52,13742,2145,1,,,
LN-13-20,2.47,15937,1244,2,,,
LN-13-20,1.93,10111,1090,3,,,
LN-13-20,0.22,10388,2155,4,,,
LN-13-20,0.67,7076,2218,5,,,
LN-13-20,0.51,6265,2263,6,,,
LN-13-20,-1.05,10748,2247,7,,,
LN-13-20,0.1,13931,2369,8,,,
LN-13-20,-0.25,10564,2271,9,,,
LN-13-20,0.83,10564,2271,,,,
LN-13-20,-0.05,7844,2134,10,,,
LN-13-20,0.18,11573,2550,11,,,
LN-13-20,0.33,16266,1496,12,,,
LN-13-20,0.55,20241,2512,13,,,
LN-13-20,0.82,11879,2507,14,,,
LN-13-20,0.88,12427,2316,15,,,
LN-13-20,0.55,11983,2387,16,,,
LN-13-20,1.5,11983,2387,,,,
LN-13-20,1.1,15116,1787,17,,,
LN-13-20,0.62,10588,2324,18,,,
LN-13-20,1.37,12355,2252,19,,,
LN-13-20,0.07,7342,2741,20,,,
LN-13-20,1.28,7342,2741,,,,
LN-13-20,1.54,16603,1549,21,,,
LN-13-20,1.63,11087,2182,22,,,
LN-13-20,1.37,11452,2543,23,,,
LN-13-20,1.56,18210,1633,24,,,
LN-13-20,1.75,19577,2366,25,,,
LN-13-20,1.45,16323,1751,26,,,
LN-13-20,1.08,12753,3171,27,,,
LN-13-20,,15382,1691,28,,,
LN-13-20,0.65,9768,2352,29,,,
LN-13-20,1.53,12833,2559,30,,,
LN-13-20,0.92,13244,2794,31,,,
LN-13-20,0.04,12036,2386,32,,,
LN-13-20,1.49,12036,2386,,,,
LN-13-20,1.9,14193,2519,33,,,
LN-13-20,,18474,1710,34,,,
LN-13-20,1,9538,3021,35,,,
LN-13-20,0.65,12361,3621,36,,,
LN-13-20,1.46,14657,2769,37,,,
LN-13-20,1.46,8689,2662,38,,,
LN-13-20,1.99,8327,2480,39,,,
LN-13-20,2.35,8327,2480,,,,
LN-13-20,0.65,8327,2480,,,,
LN-13-20,1.44,8251,2396,40,,,
LN-13-20,2.38,8251,2396,,,,
LN-13-20,0.45,8251,2396,,,,
LN-13-20,0.71,12621,2443,41,,,
LN-13-20,2,12621,2443,,,,
LN-13-20,1.01,11916,2443,42,,,
LN-13-20,1.04,12140,2412,43,,,
LN-13-20,1.08,14527,1444,44,,,
LN-13-20,-0.01,12772,2307,45,,,
LN-13-20,0.84,12772,2307,,,,
LN-13-20,1.34,14198,1328,46,,,
LN-13-20,1.18,15509,4024,47,,,
LN-13-20,1.79,15509,4024,,,,
LN-13-20,0.34,15509,4024,,,,
LN-13-28,3.37,23227,2367,1,,,
LN-13-28,3.78,7491,2343,2,,,
LN-13-28,2.21,9130,2701,3,,,
LN-13-28,5.08,12493,2204,4,,,
LN-13-28,4.19,11485,2394,5,,,
LN-13-28,3,10550,2250,6,,,
LN-13-28,2.41,6437,2221,7,,,
LN-13-28,4.3,12161,2245,8,,,
LN-13-28,2.63,11024,2170,9,,,
LN-13-28,3.85,11432,2560,10,,,
LN-13-28,3.4,10254,2210,11,,,
LN-13-28,6.12,12019,2371,12,,,
LN-13-28,6.86,21685,2655,13,,,
LN-13-28,7.37,10191,2999,14,,,
LN-13-28,6.82,9131,7561,15,,,
LN-13-28,5.53,9131,7561,,,,
LN-13-28,4.44,9802,2122,16,,,
LN-13-28,6.47,16829,2088,17,,,
LN-13-28,6.03,15195,1750,18,,,
LN-13-28,6.02,8564,2701,19,,,
LN-13-28,5.05,8564,2701,,,,
LN-13-28,4.87,7046,3659,20,,,
LN-13-28,3.93,7046,3659,,,,
LN-13-28,5.16,7139,5096,21,,,
LN-13-28,3.95,7139,5096,,,,
LN-13-28,5.71,6243,5217,22,,,
LN-13-28,4.75,6243,5217,,,,
LN-13-28,4.99,19319,2501,23,,,
LN-13-28,5.13,5857,5354,24,,,
LN-13-28,4.26,5857,5354,,,,
LN-13-28,5.43,16883,2704,25,,,
LN-13-28,,9811,3024,26,,,
LN-13-28,4.35,14043,2527,27,,,
LN-13-28,4.85,8402,2565,28,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
